from_id,to_id,weight,success_rate,dist_avg
347862,254582,4,1.0,7.280630631298939
104010,434138,4,1.0,16.68580219255262
534899,135914,4,1.0,15.101590301925745
236511,80241,4,1.0,18.779836816278014
73798,104010,4,1.0,13.716409948914901
104010,534899,4,1.0,21.0799917663285
104010,361812,4,1.0,15.89114222067959
347862,379868,4,1.0,9.064935275774703
365409,375621,4,1.0,8.161496873667657
369109,379868,4,1.0,16.54401247443981
144511,369109,4,1.0,10.494316434337456
344644,317541,4,1.0,9.173282386456748
361812,375621,4,1.0,8.077015580312812
344644,80241,4,1.0,10.810761688726338
236511,135914,4,1.0,18.62091267076952
367008,303728,4,1.0,11.351390456920422
73798,361812,3,1.0,15.857311505019988
73798,254582,3,1.0,15.063174811272612
236511,365409,3,1.0,20.52484366942132
135914,125547,3,1.0,21.64668967262813
365409,127604,3,1.0,15.321537579968144
337782,434138,3,0.6666666666666666,18.97903013327158
337782,296337,3,1.0,6.962054986421355
344644,104010,3,1.0,23.2174222230596
344644,127604,3,1.0,13.084677892873119
344644,300713,3,1.0,14.46984771853659
73798,344644,3,1.0,17.351382033056826
236511,375621,3,1.0,14.645280199823402
80241,365409,3,1.0,6.490443653789732
135914,434138,3,1.0,10.134242613219767
375621,434138,3,1.0,13.136483093933371
135914,25931,3,1.0,18.18511650084523
254582,434138,3,1.0,9.744853535135697
236511,125547,3,1.0,17.441892353727564
254582,422918,3,1.0,11.218485855746378
534899,20874,3,1.0,15.50723436207428
534899,379868,3,1.0,16.40604921249857
125547,236511,3,1.0,13.813648237041674
379868,125547,3,1.0,9.726278696080707
379868,422957,3,1.0,8.456933006478875
353423,422918,3,1.0,24.40282118483002
20874,434138,3,1.0,6.830649415640096
104010,375621,3,1.0,18.240196131104536
347862,361812,3,1.0,7.395200195910817
422918,434138,3,1.0,9.39794477626333
25931,381594,3,1.0,13.827075123856682
365409,80241,3,1.0,5.268149369118688
144511,534899,3,1.0,12.031456594528004
144511,379868,3,1.0,13.246369040235265
379868,104010,3,1.0,15.359860214064335
534899,236511,3,1.0,6.919568137150783
347862,236511,3,0.6666666666666666,12.38844005924095
296337,434138,3,0.6666666666666666,10.600312044627193
379868,20874,3,1.0,6.669537529875367
296337,236511,3,1.0,9.788897977715733
104010,80241,3,1.0,13.455971394705278
534899,347862,3,1.0,12.407184585839289
534899,361812,3,1.0,11.17677448919857
20874,379868,3,1.0,7.74193245764144
104010,365409,3,1.0,23.449401574407403
534899,317541,3,1.0,10.836229316358086
104010,422918,3,0.6666666666666666,16.151495754299958
344644,534899,3,1.0,16.442407413648024
76662,236511,3,1.0,18.1202789012458
76662,135914,3,1.0,15.492348303596216
104010,379868,3,1.0,9.623763728611229
104010,369109,3,1.0,14.732187614858043
365409,434138,2,1.0,9.159789482419303
25931,434138,2,0.5,9.279969946193333
369109,25931,2,1.0,34.97366096027559
367008,135914,2,1.0,19.705328474221485
365409,303728,2,1.0,35.00502753640943
303728,367008,2,1.0,9.935142007456085
369109,344644,2,1.0,10.443680268158857
317541,434138,2,0.5,10.4759136468127
365409,236511,2,1.0,18.937539090346796
344644,369109,2,1.0,9.921449903091412
337782,422957,2,1.0,14.678320292744765
422918,365409,2,1.0,7.793838796711524
337782,317541,2,1.0,22.190673819147385
344644,254582,2,1.0,13.655464222891084
337782,125547,2,1.0,32.00549726867136
337782,302497,2,0.0,16.865200120810602
80241,361812,2,1.0,14.086769896585306
80241,236511,2,1.0,18.677884816851137
375621,422918,2,1.0,25.375951267474747
80241,375621,2,1.0,11.639001255359204
135914,367008,2,1.0,25.16490239210614
300713,375621,2,1.0,23.205051432843852
375621,361812,2,1.0,7.209753814335067
300713,73798,2,1.0,33.352289199272676
337782,422918,2,1.0,16.23295550353449
369109,303728,2,1.0,12.772363400252912
317541,317541,2,1.0,6.513753897149919
144511,381594,2,1.0,12.160843641722904
135914,361812,2,1.0,30.703371637806107
254582,127604,2,1.0,27.910464418948838
254582,367008,2,1.0,11.694821826624327
236511,254582,2,1.0,27.52823600146372
73798,236511,2,1.0,20.41776678890095
73798,534899,2,1.0,17.05006048457966
361812,365409,2,1.0,8.80343543901253
344644,422918,2,1.0,13.555552982548136
