csv,passes_total,passes_with_receiver,coverage_pct,nodes,edges,nx_path,pt_path
eventing-En Directo Brighton 1-1 Newcastle - Premier League 2024_2025.htm-2025-11-27.csv,896,885,98.77,29,240,data\processed\passes_eventing-En_Directo_Brighton_1-1_Newcastle_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Brighton_1-1_Newcastle_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Tottenham 0-2 Crystal Palace - Premier League 2024_2025.htm-2025-11-27.csv,862,856,99.3,30,237,data\processed\passes_eventing-En_Directo_Tottenham_0-2_Crystal_Palace_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Tottenham_0-2_Crystal_Palace_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Arsenal 1-0 Newcastle - Premier League 2024_2025.htm-2025-11-27.csv,874,859,98.28,30,234,data\processed\passes_eventing-En_Directo_Arsenal_1-0_Newcastle_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Arsenal_1-0_Newcastle_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo West Ham 1-1 Tottenham - Premier League 2024_2025.htm-2025-11-27.csv,893,888,99.44,28,231,data\processed\passes_eventing-En_Directo_West_Ham_1-1_Tottenham_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_West_Ham_1-1_Tottenham_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Leicester 2-0 Ipswich - Premier League 2024_2025.htm-2025-11-27.csv,960,954,99.38,31,226,data\processed\passes_eventing-En_Directo_Leicester_2-0_Ipswich_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Leicester_2-0_Ipswich_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Crystal Palace 1-1 Nottingham Forest - Premier League 2024_2025.htm-2025-11-27.csv,887,875,98.65,28,225,data\processed\passes_eventing-En_Directo_Crystal_Palace_1-1_Nottingham_Forest_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Crystal_Palace_1-1_Nottingham_Forest_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Ipswich 0-1 Brentford - Premier League 2024_2025.htm-2025-11-27.csv,820,815,99.39,29,222,data\processed\passes_eventing-En_Directo_Ipswich_0-1_Brentford_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Ipswich_0-1_Brentford_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Southampton 0-0 Manchester City - Premier League 2024_2025.htm-2025-11-27.csv,983,980,99.69,31,221,data\processed\passes_eventing-En_Directo_Southampton_0-0_Manchester_City_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Southampton_0-0_Manchester_City_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Leicester 2-0 Southampton - Premier League 2024_2025.htm-2025-11-27.csv,971,960,98.87,31,219,data\processed\passes_eventing-En_Directo_Leicester_2-0_Southampton_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Leicester_2-0_Southampton_-_Premier_League_2024_2025.htm-2025-11-27.pt
eventing-En Directo Chelsea 1-0 Manchester United - Premier League 2024_2025.htm-2025-11-27.csv,941,934,99.26,28,217,data\processed\passes_eventing-En_Directo_Chelsea_1-0_Manchester_United_-_Premier_League_2024_2025.htm-2025-11-27.gpickle,data\processed\passes_eventing-En_Directo_Chelsea_1-0_Manchester_United_-_Premier_League_2024_2025.htm-2025-11-27.pt
